numero_notificacion;fecha;codigo_predio;nombre_predio;zona;sirex;Sigla;unidad_operativa;intervencion;rut_emsefor;nombre_emsefor;Numero_Acta;rut_jfaena;nombre_jfaena;especie;Producto;producto_sap;largo;corteza;estado_madera;codigo_destino;descripcion_destino;banda_diametrica;Tipo_Producto;Condicion_Producto;Trozos;Metro_Ruma;Factor;m3ssc;ID_FSC;DESCRIP_FSC;ID_CERTFOR;DESCRIP_CERTFOR
829794;2026-05-31T00:05:22;20233;MUNDO NUEVO P-43 44P;BC01;no;CIMA14;COSECHA;COSECHA;96567940-5;FORESTAL ARAUCO;2077080;96567940-5;CIMA FORESTAL;PIRA;P0400URCPLLF;PIRA-PULP-COS-CC;4;CC;Fresca;C020;CP ARAUCO;;PULPABLE;Normal;;56.075;1.498;84;1;FSC 100%-SA-FM/COC-004173;1;100% CERTIFICADO CERTFOR-CL21/819943415
829794;2026-05-31T00:05:22;20233;MUNDO NUEVO P-43 44P;BC01;no;CIMA14;COSECHA;COSECHA;96567940-5;FORESTAL ARAUCO;2077080;96567940-5;CIMA FORESTAL;PIRA;P0410RRCCAL1;PIRA-ASER-COS-CC;4;CC;Fresca;N051;CN LOG NVA ALDEA;;ASERRABLE;Normal;300;;0.164;49.2;1;FSC 100%-SA-FM/COC-004173;1;100% CERTIFICADO CERTFOR-CL21/819943415
829794;2026-05-31T00:05:22;20233;MUNDO NUEVO P-43 44P;BC01;no;CIMA14;COSECHA;COSECHA;96567940-5;FORESTAL ARAUCO;2077080;96567940-5;CIMA FORESTAL;PIRA;P0500RRCCAL1;PIRA-ASER-COS-CC;4.9;CC;Fresca;C033;CN HORCONES;;ASERRABLE;Normal;280;;0.337;94.36;1;FSC 100%-SA-FM/COC-004173;1;100% CERTIFICADO CERTFOR-CL21/819943415
829796;2026-05-31T00:09:07;20057;CURIHUILLIN SUR;BC01;no;CIMA49;COSECHA;COSECHA;96567940-5;FORESTAL ARAUCO;2078063;96567940-5;CIMA FORESTAL;EUGL;E0550UGCPLLF;EUGL-PULP-COS-CC;5.5;CC;Fresca;C183;CP MAPA;;PULPABLE;Normal;;78.082;1.46;114;1;FSC 100%-SA-FM/COC-004173;1;100% CERTIFICADO CERTFOR-CL21/819943415
829797;2026-05-31T00:02:53;80118;SAN ISIDRO FBB;FC00;si;CM059;COSECHA;COSECHA;77070090-6;JORGE ARCE Y CIA. LTDA.;2077452;77070090-6;JORGE ARCE Y CIA. LTDA.;PIRA;P0265LRCCAL1;PIRA-PODA-COS-CC;2.6;CC;Quemada;N051;CN LOG NVA ALDEA;26-70;PODADO;No Rodalizado;216;;0.303;65.448;1;FSC 100%-SA-FM/COC-004173;1;100% CERTIFICADO CERTFOR-CL21/819943415
829797;2026-05-31T00:02:53;80118;SAN ISIDRO FBB;FC00;si;CM059;COSECHA;COSECHA;77070090-6;JORGE ARCE Y CIA. LTDA.;2077452;77070090-6;JORGE ARCE Y CIA. LTDA.;PIRA;P0350URCPLLF;PIRA-PULP-COS-CC;3.5;CC;Fresca;N011;PTA NVA ALDEA;;PULPABLE;Normal;;25.145;1.596;40.13142;1;FSC 100%-SA-FM/COC-004173;1;100% CERTIFICADO CERTFOR-CL21/819943415
829797;2026-05-31T00:02:53;80118;SAN ISIDRO FBB;FC00;si;CM059;COSECHA;COSECHA;77070090-6;JORGE ARCE Y CIA. LTDA.;2077452;77070090-6;JORGE ARCE Y CIA. LTDA.;PIRA;P0400NRCPLLF;PIRA-PULP-COS-CC;4;CC;Quemada;N014;CP TRUPAN;;PULPABLE;No Rodalizado;;93.295;1.543;143.954185;1;FSC 100%-SA-FM/COC-004173;1;100% CERTIFICADO CERTFOR-CL21/819943415
829797;2026-05-31T00:02:53;80118;SAN ISIDRO FBB;FC00;si;CM059;COSECHA;COSECHA;77070090-6;JORGE ARCE Y CIA. LTDA.;2077452;77070090-6;JORGE ARCE Y CIA. LTDA.;PIRA;P0410MRCCAL1;PIRA-ASER-COS-CC;4;CC;Quemada;N051;CN LOG NVA ALDEA;16-74;ASERRABLE;No Rodalizado;113;;0.206;23.278;1;FSC 100%-SA-FM/COC-004173;1;100% CERTIFICADO CERTFOR-CL21/819943415
829797;2026-05-31T00:02:53;80118;SAN ISIDRO FBB;FC00;si;CM059;COSECHA;COSECHA;77070090-6;JORGE ARCE Y CIA. LTDA.;2077452;77070090-6;JORGE ARCE Y CIA. LTDA.;PIRA;P0410RRCCAL1;PIRA-ASER-COS-CC;4;CC;Fresca;N051;CN LOG NVA ALDEA;16-34;ASERRABLE;Normal;416;;0.186;77.376;1;FSC 100%-SA-FM/COC-004173;1;100% CERTIFICADO CERTFOR-CL21/819943415
829798;2026-05-31T00:05:21;30890;QUEMAS LB-1 ,LAS;FS01;no;NEG2;COSECHA;COSECHA;77224300-6;SOC. DE SERVICIOS FORESTALES NYLYUMAR LTDA.;2078200;77224300-6;NYLYUMAR LTDA. SOC. DE SERV. FORESTALES;EUNI;E0300UNCPLVA;EUNI-PULP-COS-CC;3;CC;Fresca;S010;CP VALDIVIA;;PULPABLE;Normal;;20.41;1.24;25.308;1;FSC 100%-SA-FM/COC-004173;1;100% CERTIFICADO CERTFOR-CL21/819943415
829798;2026-05-31T00:05:21;30890;QUEMAS LB-1 ,LAS;FS01;no;NEG2;COSECHA;COSECHA;77224300-6;SOC. DE SERVICIOS FORESTALES NYLYUMAR LTDA.;2078200;77224300-6;NYLYUMAR LTDA. SOC. DE SERV. FORESTALES;EUNI;E0600UNC15MA;EUNI-PULP-COS-CC;6;CC;Fresca;S010;CP VALDIVIA;;PULPABLE;Normal;;418.279;1.46;610.687;1;FSC 100%-SA-FM/COC-004173;1;100% CERTIFICADO CERTFOR-CL21/819943415
829799;2026-05-31T00:05:22;30764;BOLDOS P-58 ,LOS;FS01;si;PCNY3;COSECHA;COSECHA;77224300-6;SOC. DE SERVICIOS FORESTALES NYLYUMAR LTDA.;2077361;77224300-6;NYLYUMAR LTDA. SOC. DE SERV. FORESTALES;PIRA;P0265RRZCAL1;PIRA-ASER-COS-CS;2.6;CS;Fresca;N051;CN LOG NVA ALDEA;40-70;ASERRABLE;Normal;136;;0.459;62.424;1;FSC 100%-SA-FM/COC-004173;1;100% CERTIFICADO CERTFOR-CL21/819943415
829799;2026-05-31T00:05:22;30764;BOLDOS P-58 ,LOS;FS01;si;PCNY3;COSECHA;COSECHA;77224300-6;SOC. DE SERVICIOS FORESTALES NYLYUMAR LTDA.;2077361;77224300-6;NYLYUMAR LTDA. SOC. DE SERV. FORESTALES;PIRA;P0410RRZCAL1;PIRA-ASER-COS-CS;4;CS;Fresca;S012;CN VALDIVIA;36-42;ASERRABLE;Normal;79;;0.319;25.201;1;FSC 100%-SA-FM/COC-004173;1;100% CERTIFICADO CERTFOR-CL21/819943415
829799;2026-05-31T00:05:22;30764;BOLDOS P-58 ,LOS;FS01;si;PCNY3;COSECHA;COSECHA;77224300-6;SOC. DE SERVICIOS FORESTALES NYLYUMAR LTDA.;2077361;77224300-6;NYLYUMAR LTDA. SOC. DE SERV. FORESTALES;PIRA;P0460RRZCAL1;PIRA-ASER-COS-CS;4.5;CS;Fresca;S012;CN VALDIVIA;16-34;ASERRABLE;Normal;486;;0.18;87.48;1;FSC 100%-SA-FM/COC-004173;1;100% CERTIFICADO CERTFOR-CL21/819943415
829799;2026-05-31T00:05:22;30764;BOLDOS P-58 ,LOS;FS01;si;PCNY3;COSECHA;COSECHA;77224300-6;SOC. DE SERVICIOS FORESTALES NYLYUMAR LTDA.;2077361;77224300-6;NYLYUMAR LTDA. SOC. DE SERV. FORESTALES;PIRA;P0550URZPLLF;PIRA-PULP-COS-CS;5.5;CS;Fresca;N011;PTA NVA ALDEA;;PULPABLE;Normal;;12.984;1.543;20.034;1;FSC 100%-SA-FM/COC-004173;1;100% CERTIFICADO CERTFOR-CL21/819943415
829800;2026-05-31T00:07:30;30688;CUFEO H-166;FS01;no;TSA1;COSECHA;COSECHA;77536620-6;FORESTAL SAN AGUSTIN LTDA.;2076834;77536620-6;SAN AGUSTIN FORESTAL;PIRA;P0265PRZCAL1;PIRA-PODA-COS-CS;2.6;CS;Fresca;N051;CN LOG NVA ALDEA;26-70;PODADO;Normal;2;;0.315;0.63;1;FSC 100%-SA-FM/COC-004173;1;100% CERTIFICADO CERTFOR-CL21/819943415
829800;2026-05-31T00:07:30;30688;CUFEO H-166;FS01;no;TSA1;COSECHA;COSECHA;77536620-6;FORESTAL SAN AGUSTIN LTDA.;2076834;77536620-6;SAN AGUSTIN FORESTAL;PIRA;P0265RRZCAL1;PIRA-ASER-COS-CS;2.6;CS;Fresca;N051;CN LOG NVA ALDEA;44-66;ASERRABLE;Normal;32;;0.315;10.08;1;FSC 100%-SA-FM/COC-004173;1;100% CERTIFICADO CERTFOR-CL21/819943415
829800;2026-05-31T00:07:30;30688;CUFEO H-166;FS01;no;TSA1;COSECHA;COSECHA;77536620-6;FORESTAL SAN AGUSTIN LTDA.;2076834;77536620-6;SAN AGUSTIN FORESTAL;PIRA;P0300URZPLVA;PIRA-PULP-COS-CS;3;CS;Fresca;N011;PTA NVA ALDEA;;PULPABLE;Normal;;7.592;1.267;9.619;1;FSC 100%-SA-FM/COC-004173;1;100% CERTIFICADO CERTFOR-CL21/819943415
829800;2026-05-31T00:07:30;30688;CUFEO H-166;FS01;no;TSA1;COSECHA;COSECHA;77536620-6;FORESTAL SAN AGUSTIN LTDA.;2076834;77536620-6;SAN AGUSTIN FORESTAL;PIRA;P0410RRZCAL1;PIRA-ASER-COS-CS;4;CS;Fresca;S012;CN VALDIVIA;36-42;ASERRABLE;Normal;53;;0.415;21.995;1;FSC 100%-SA-FM/COC-004173;1;100% CERTIFICADO CERTFOR-CL21/819943415
829800;2026-05-31T00:07:30;30688;CUFEO H-166;FS01;no;TSA1;COSECHA;COSECHA;77536620-6;FORESTAL SAN AGUSTIN LTDA.;2076834;77536620-6;SAN AGUSTIN FORESTAL;PIRA;P0460RRZCAL1;PIRA-ASER-COS-CS;4.5;CS;Fresca;S012;CN VALDIVIA;16-34;ASERRABLE;Normal;462;;0.283;130.746;1;FSC 100%-SA-FM/COC-004173;1;100% CERTIFICADO CERTFOR-CL21/819943415
829800;2026-05-31T00:07:30;30688;CUFEO H-166;FS01;no;TSA1;COSECHA;COSECHA;77536620-6;FORESTAL SAN AGUSTIN LTDA.;2076834;77536620-6;SAN AGUSTIN FORESTAL;PIRA;P0550URZPLLF;PIRA-PULP-COS-CS;5.5;CS;Fresca;N011;PTA NVA ALDEA;;PULPABLE;Normal;;32.459;1.543;50.084;1;FSC 100%-SA-FM/COC-004173;1;100% CERTIFICADO CERTFOR-CL21/819943415
829801;2026-05-31T00:08:14;30764;BOLDOS P-58 ,LOS;FS01;si;PCNY5;COSECHA;COSECHA;77224300-6;SOC. DE SERVICIOS FORESTALES NYLYUMAR LTDA.;2077361;77224300-6;NYLYUMAR LTDA. SOC. DE SERV. FORESTALES;PIRA;P0265PRZCAL1;PIRA-PODA-COS-CS;2.6;CS;Fresca;N051;CN LOG NVA ALDEA;26-70;PODADO;Normal;118;;0.443;52.274;1;FSC 100%-SA-FM/COC-004173;1;100% CERTIFICADO CERTFOR-CL21/819943415
829801;2026-05-31T00:08:14;30764;BOLDOS P-58 ,LOS;FS01;si;PCNY5;COSECHA;COSECHA;77224300-6;SOC. DE SERVICIOS FORESTALES NYLYUMAR LTDA.;2077361;77224300-6;NYLYUMAR LTDA. SOC. DE SERV. FORESTALES;PIRA;P0410RRZCAL1;PIRA-ASER-COS-CS;4;CS;Fresca;S012;CN VALDIVIA;36-42;ASERRABLE;Normal;80;;0.328;26.24;1;FSC 100%-SA-FM/COC-004173;1;100% CERTIFICADO CERTFOR-CL21/819943415
829801;2026-05-31T00:08:14;30764;BOLDOS P-58 ,LOS;FS01;si;PCNY5;COSECHA;COSECHA;77224300-6;SOC. DE SERVICIOS FORESTALES NYLYUMAR LTDA.;2077361;77224300-6;NYLYUMAR LTDA. SOC. DE SERV. FORESTALES;PIRA;P0460RRZCAL1;PIRA-ASER-COS-CS;4.5;CS;Fresca;S012;CN VALDIVIA;16-34;ASERRABLE;Normal;484;;0.191;92.444;1;FSC 100%-SA-FM/COC-004173;1;100% CERTIFICADO CERTFOR-CL21/819943415
829801;2026-05-31T00:08:14;30764;BOLDOS P-58 ,LOS;FS01;si;PCNY5;COSECHA;COSECHA;77224300-6;SOC. DE SERVICIOS FORESTALES NYLYUMAR LTDA.;2077361;77224300-6;NYLYUMAR LTDA. SOC. DE SERV. FORESTALES;PIRA;P0550URZPLLF;PIRA-PULP-COS-CS;5.5;CS;Fresca;N011;PTA NVA ALDEA;;PULPABLE;Normal;;26.824;1.543;41.389;1;FSC 100%-SA-FM/COC-004173;1;100% CERTIFICADO CERTFOR-CL21/819943415
829802;2026-05-31T00:10:59;20347;QUIDICO P-13p;BC01;si;S45;COSECHA;COSECHA;78502040-5;FORESTAL ANTILEMU LTDA.;2077542;78502040-5;ANTILEMU LTDA. FORESTAL;EUNI;E0550UNCPLLF;EUNI-PULP-COS-CC;5.5;CC;Fresca;C183;CP MAPA;;PULPABLE;Normal;;202.418;1.46;295.53;1;FSC 100%-SA-FM/COC-004173;1;100% CERTIFICADO CERTFOR-CL21/819943415
829802;2026-05-31T00:10:59;20347;QUIDICO P-13p;BC01;si;S45;COSECHA;COSECHA;78502040-5;FORESTAL ANTILEMU LTDA.;2077542;78502040-5;ANTILEMU LTDA. FORESTAL;PIRA;P0400URCPLLF;PIRA-PULP-COS-CC;4;CC;Fresca;C020;CP ARAUCO;;PULPABLE;No Rodalizado;;;1.498;0;1;FSC 100%-SA-FM/COC-004173;1;100% CERTIFICADO CERTFOR-CL21/819943415
829803;2026-05-31T00:10:18;10082;EL BAUL;FT01;no;CIMA3;COSECHA;COSECHA;96567940-5;FORESTAL ARAUCO;2077393;96567940-5;CIMA FORESTAL;EUNI;E0244UNCPLLF;EUNI-PULP-COS-CC;2.44;CC;Fresca;N011;PTA NVA ALDEA;;PULPABLE;Normal;;4.003;1.499;6;1;FSC 100%-SA-FM/COC-004173;1;100% CERTIFICADO CERTFOR-CL21/819943415
829803;2026-05-31T00:10:18;10082;EL BAUL;FT01;no;CIMA3;COSECHA;COSECHA;96567940-5;FORESTAL ARAUCO;2077393;96567940-5;CIMA FORESTAL;EUNI;E0550UNCPLLF;EUNI-PULP-COS-CC;5.5;CC;Fresca;N011;PTA NVA ALDEA;;PULPABLE;Normal;;108.904;1.46;159;1;FSC 100%-SA-FM/COC-004173;1;100% CERTIFICADO CERTFOR-CL21/819943415
829804;2026-05-31T00:13:16;20085;V. LEBU Y LOS ALTOS;BC01;no;CIMA48;COSECHA;COSECHA;96567940-5;FORESTAL ARAUCO;2076494;96567940-5;CIMA FORESTAL;EUNI;E0550UNCPLLF;EUNI-PULP-COS-CC;5.5;CC;Fresca;C183;CP MAPA;;PULPABLE;Normal;;136.301;1.46;199;1;FSC 100%-SA-FM/COC-004173;1;100% CERTIFICADO CERTFOR-CL21/819943415
829806;2026-05-31T00:19:14;10664;PIRAGUA SUR;FT01;no;CIMA2;COSECHA;COSECHA;96567940-5;FORESTAL ARAUCO;2077505;96567940-5;CIMA FORESTAL;PIRA;P0244URCPLLF;PIRA-PULP-COS-CC;2.44;CC;Fresca;T010;CP CONSTITUCION;;PULPABLE;Normal;;90.025;1.596;143.68;1;FSC 100%-SA-FM/COC-004173;1;100% CERTIFICADO CERTFOR-CL21/819943415
829806;2026-05-31T00:19:14;10664;PIRAGUA SUR;FT01;no;CIMA2;COSECHA;COSECHA;96567940-5;FORESTAL ARAUCO;2077505;96567940-5;CIMA FORESTAL;PIRA;P0410RRCCAL1;PIRA-ASER-COS-CC;4;CC;Fresca;T014;CN VINALES;;ASERRABLE;Normal;1211;;0.185;224.035;1;FSC 100%-SA-FM/COC-004173;1;100% CERTIFICADO CERTFOR-CL21/819943415
829807;2026-05-31T00:29:22;10190;COIGOS;FC00;no;CIMA82;COSECHA;COSECHA;96567940-5;FORESTAL ARAUCO;2077933;96567940-5;CIMA FORESTAL;PIRA;P0265PRCCAL1;PIRA-PODA-COS-CC;2.6;CC;Fresca;N051;CN LOG NVA ALDEA;;PODADO;Normal;65;;0.251;16.315;1;FSC 100%-SA-FM/COC-004173;1;100% CERTIFICADO CERTFOR-CL21/819943415
829807;2026-05-31T00:29:22;10190;COIGOS;FC00;no;CIMA82;COSECHA;COSECHA;96567940-5;FORESTAL ARAUCO;2077933;96567940-5;CIMA FORESTAL;PIRA;P0265RRCCAL1;PIRA-ASER-COS-CC;2.6;CC;Fresca;N051;CN LOG NVA ALDEA;;ASERRABLE;Normal;113;;0.297;33.561;1;FSC 100%-SA-FM/COC-004173;1;100% CERTIFICADO CERTFOR-CL21/819943415
829807;2026-05-31T00:29:22;10190;COIGOS;FC00;no;CIMA82;COSECHA;COSECHA;96567940-5;FORESTAL ARAUCO;2077933;96567940-5;CIMA FORESTAL;PIRA;P0330URCPLVA;PIRA-PULP-COS-CC;3.3;CC;Fresca;N011;PTA NVA ALDEA;;PULPABLE;Normal;;1.579;1.267;2;1;FSC 100%-SA-FM/COC-004173;1;100% CERTIFICADO CERTFOR-CL21/819943415
829807;2026-05-31T00:29:22;10190;COIGOS;FC00;no;CIMA82;COSECHA;COSECHA;96567940-5;FORESTAL ARAUCO;2077933;96567940-5;CIMA FORESTAL;PIRA;P0350URCPLLF;PIRA-PULP-COS-CC;3.5;CC;Fresca;N011;PTA NVA ALDEA;;PULPABLE;Normal;;24.436;1.596;39;1;FSC 100%-SA-FM/COC-004173;1;100% CERTIFICADO CERTFOR-CL21/819943415
829807;2026-05-31T00:29:22;10190;COIGOS;FC00;no;CIMA82;COSECHA;COSECHA;96567940-5;FORESTAL ARAUCO;2077933;96567940-5;CIMA FORESTAL;PIRA;P0375RRCCAL1;PIRA-ASER-COS-CC;3.65;CC;Fresca;N051;CN LOG NVA ALDEA;;ASERRABLE;Normal;1888;;0.185;349.28;1;FSC 100%-SA-FM/COC-004173;1;100% CERTIFICADO CERTFOR-CL21/819943415
829808;2026-05-31T00:22:22;31795;MONTE REDONDO;FS01;si;SOL6;COSECHA;COSECHA;76489220-8;SERVICIOS MOLINO EL SOL LTDA;2078015;76489220-8;MOLINO EL SOL LTDA SERVICIOS;PIRA;P0265PRZCAL1;PIRA-PODA-COS-CS;2.6;CS;Fresca;N051;CN LOG NVA ALDEA;26-70;PODADO;Normal;87;;0.315;27.405;1;FSC 100%-SA-FM/COC-004173;1;100% CERTIFICADO CERTFOR-CL21/819943415
829808;2026-05-31T00:22:22;31795;MONTE REDONDO;FS01;si;SOL6;COSECHA;COSECHA;76489220-8;SERVICIOS MOLINO EL SOL LTDA;2078015;76489220-8;MOLINO EL SOL LTDA SERVICIOS;PIRA;P0265RRZCAL1;PIRA-ASER-COS-CS;2.6;CS;Fresca;N051;CN LOG NVA ALDEA;44-70;ASERRABLE;Normal;6;;0.315;1.89;1;FSC 100%-SA-FM/COC-004173;1;100% CERTIFICADO CERTFOR-CL21/819943415
829808;2026-05-31T00:22:22;31795;MONTE REDONDO;FS01;si;SOL6;COSECHA;COSECHA;76489220-8;SERVICIOS MOLINO EL SOL LTDA;2078015;76489220-8;MOLINO EL SOL LTDA SERVICIOS;PIRA;P0300URZPLVA;PIRA-PULP-COS-CS;3;CS;Fresca;N011;PTA NVA ALDEA;;PULPABLE;Normal;;4.426;1.267;5.608;1;FSC 100%-SA-FM/COC-004173;1;100% CERTIFICADO CERTFOR-CL21/819943415
829808;2026-05-31T00:22:22;31795;MONTE REDONDO;FS01;si;SOL6;COSECHA;COSECHA;76489220-8;SERVICIOS MOLINO EL SOL LTDA;2078015;76489220-8;MOLINO EL SOL LTDA SERVICIOS;PIRA;P0410RRZCAL1;PIRA-ASER-COS-CS;4;CS;Fresca;S012;CN VALDIVIA;36-42;ASERRABLE;Normal;25;;0.24;6;1;FSC 100%-SA-FM/COC-004173;1;100% CERTIFICADO CERTFOR-CL21/819943415
829808;2026-05-31T00:22:22;31795;MONTE REDONDO;FS01;si;SOL6;COSECHA;COSECHA;76489220-8;SERVICIOS MOLINO EL SOL LTDA;2078015;76489220-8;MOLINO EL SOL LTDA SERVICIOS;PIRA;P0460RRZCAL1;PIRA-ASER-COS-CS;4.5;CS;Fresca;S012;CN VALDIVIA;16-34;ASERRABLE;Normal;895;;0.265;237.175;1;FSC 100%-SA-FM/COC-004173;1;100% CERTIFICADO CERTFOR-CL21/819943415
829808;2026-05-31T00:22:22;31795;MONTE REDONDO;FS01;si;SOL6;COSECHA;COSECHA;76489220-8;SERVICIOS MOLINO EL SOL LTDA;2078015;76489220-8;MOLINO EL SOL LTDA SERVICIOS;PIRA;P0550URZPLLF;PIRA-PULP-COS-CS;5.5;CS;Fresca;N011;PTA NVA ALDEA;;PULPABLE;Normal;;172.743;1.543;266.542;1;FSC 100%-SA-FM/COC-004173;1;100% CERTIFICADO CERTFOR-CL21/819943415
829809;2026-05-31T00:22:36;10608;POLHUIN;FT01;si;T125;COSECHA;COSECHA;79662560-0;FORESTAL MILLALEMU Y CIA.LTDA.;2076033;79662560-0;MILLALEMU Y CIA.LTDA. FORESTAL MILLALEMU;EUGL;E0244UGCPLLF;EUGL-PULP-COS-CC;2.44;CC;Fresca;N011;PTA NVA ALDEA;;PULPABLE;Normal;;2.76;1.499;4.13724;1;FSC 100%-SA-FM/COC-004173;1;100% CERTIFICADO CERTFOR-CL21/819943415
